"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000011028",1991.94883384361,1.30241937011243,0.375174447290154,3.47150340200318,0.000517552773820508,0.00466170104626953
"ENSG00000011426",163.328024068775,1.84871019528363,0.707810384222908,2.61187210090636,0.00900479350175422,0.0425047996606101
"ENSG00000011600",1160.27552600634,1.78809869936303,0.321111036958207,5.56847474412956,2.56978867468826e-08,1.02390529009633e-06
"ENSG00000012211",180.284575218977,1.06930504814395,0.165122199002448,6.4758406477381,9.42855134253012e-11,7.21471595390791e-09
"ENSG00000012223",701.440227364041,1.74173957619992,0.541857162850208,3.21438876444531,0.00130722552893658,0.00977674783861238
"ENSG00000012779",443.465082299181,2.30249070520148,0.361821049469787,6.36361734226228,1.97056717441313e-10,1.40878662394758e-08
"ENSG00000013364",7994.54383276755,1.12346178482271,0.195769434760484,5.73869861859293,9.54068273400773e-09,4.30915096336357e-07
"ENSG00000013441",1574.76948680342,-2.29464871473801,0.211581068452212,-10.8452458980577,2.10070205828309e-27,3.50425112682397e-24
"ENSG00000013810",393.03734705242,1.56922100237888,0.238806402999087,6.57110103695537,4.99445530265275e-11,4.0707251004227e-09
"ENSG00000015285",29.8594163105206,2.09174068264943,0.40212445933968,5.20172457573019,1.97447691415222e-07,6.09190645449038e-06
"ENSG00000015479",38.2880696503884,-3.31518867995151,0.466731301968112,-7.10299194841235,1.22084520146666e-12,1.41425873292124e-10
"ENSG00000017483",44.6267014551774,2.93847627762788,0.605689522126465,4.85145634897468,1.22558185830099e-06,2.94870281330841e-05
"ENSG00000018280",206.492735272308,1.46730233973537,0.271801342793017,5.39843668415119,6.72240835149656e-08,2.36751506748376e-06
"ENSG00000019169",55.919945244161,3.7797491952045,0.866043806483954,4.36438568916032,1.27480488570525e-05,0.000212654452334113
"ENSG00000020256",632.267718603558,1.01323024847319,0.128891892398964,7.86108598155182,3.8081726152285e-15,7.6230476142598e-13
"ENSG00000020633",55.9733169313223,1.50690489193234,0.443869804341644,3.39492544253469,0.000686472919631516,0.00583455346298227
"ENSG00000023892",143.324928235575,1.63746695886539,0.392456177621279,4.17235618200805,3.01465883868791e-05,0.000447141632849134
"ENSG00000024422",6610.2389506923,1.37546415422112,0.252715979845396,5.44272726664371,5.24709519227547e-08,1.92511460265567e-06
"ENSG00000025708",762.120749452593,1.83933347120848,0.501085842758433,3.67069534649614,0.000241891518060581,0.00249798166112747
"ENSG00000026508",1356.54828048601,1.29513812009571,0.337742953224896,3.83468583942092,0.000125724885028241,0.00147004115569003
"ENSG00000026559",9.36167280719818,3.63414942083399,1.10161884506903,3.29891725899647,0.000970585148096898,0.00771718512096619
"ENSG00000026751",259.785428028569,3.27186303847397,0.546828884488668,5.98333981851277,2.18608016039295e-09,1.17382184062988e-07
"ENSG00000028137",1737.32950969232,2.24978576137955,0.323322562218857,6.95833209393124,3.44324789234038e-12,3.58987286508921e-10
"ENSG00000028277",60.5231128850598,2.69843436898081,0.383398836274273,7.03819133934572,1.94751140837923e-12,2.13730835352917e-10
"ENSG00000029153",63.3117757898625,2.35936571549193,0.689781610456528,3.42045319812222,0.000625168918193239,0.0054278198025785
"ENSG00000029534",181.484255924296,2.37845131758085,0.453634623059687,5.24309917426189,1.57901610359951e-07,4.99496092847874e-06
"ENSG00000030110",1080.37583588635,1.31779410468585,0.117647669407828,11.2011917560193,4.02284934621967e-29,9.15088512191895e-26
"ENSG00000033100",1422.81626086101,1.06428701180241,0.254915325358133,4.1750609160402,2.9790632693189e-05,0.000442649175325994
"ENSG00000036672",399.032979725742,-1.28053391674217,0.37367722650529,-3.4268449504349,0.000610637629825567,0.00533870537159166
"ENSG00000040487",722.320569144296,1.0296376532908,0.159573535510322,6.45243366951782,1.10068064087428e-10,8.29834211621333e-09
"ENSG00000042980",247.690344260131,-1.31892252480281,0.407045191310851,-3.24023610389633,0.00119430764068651,0.00908879737994457
"ENSG00000049249",110.446069450909,1.88027610031301,0.577756773576137,3.25444232990066,0.00113615225365464,0.00870713681192843
"ENSG00000049540",179.109499586902,1.39854337630603,0.509621058819413,2.74428097525227,0.00606436073894032,0.0316850351565226
"ENSG00000050438",60.1416277321403,1.25049782388011,0.485203042208437,2.57726707192183,0.00995849739067252,0.0457633648685781
"ENSG00000050628",846.746051131713,-1.14134688045353,0.4064286478411,-2.80823432727055,0.00498139654926063,0.0273403168360604
"ENSG00000050820",3788.28351263763,1.05505975673746,0.245808890401702,4.29219527012744,1.76915256493665e-05,0.000282139805480209
"ENSG00000051128",277.812528015859,1.12308446241672,0.336583490338434,3.33671880723402,0.000847736697000978,0.00692073984742528
"ENSG00000051180",118.049937034941,1.17915113238997,0.453195339734752,2.60186067464884,0.00927195117346528,0.0433812195703904
"ENSG00000053328",77.3596683692016,-1.18466962623991,0.29029869468231,-4.08086446112462,4.48685147452987e-05,0.000626856491321532
"ENSG00000054967",47.2548401639383,2.37994977051714,0.520097726361103,4.57596649608259,4.74026409926669e-06,9.16622011528989e-05
"ENSG00000055118",1172.461247908,1.06162833496755,0.30022192586484,3.53614524292106,0.000406011404529735,0.00382356694171736
"ENSG00000055732",581.512901348631,-1.4171003169584,0.229740436459664,-6.16826684407908,6.90425595412265e-10,4.20336478063399e-08
"ENSG00000058085",488.79397251661,2.03390008119047,0.520977553246299,3.90400712759483,9.46129923691267e-05,0.00116106243014237
